Start of new run - 12/14/11 17:16:21
width, voltage, fitness
122, 35, 1
122, 40, 1
122, 45, 0.99846248462485
122, 50, 0.99787556904401
122, 55, 0.99503105590062
122, 60, 0.95281582952816
122, 65, 0.90802829898493
122, 70, 0.88410697817399
122, 75, 0.83128457283344
122, 80, 0.79095695261691
122, 85, 0.77274128893
122, 90, 0.72166874221669
122, 95, 0.72130647130647
126, 0, 0.58508014796547
126, 5, 0.74916590840158
126, 10, 0.87792694349048
126, 15, 0.99969428309386
126, 20, 1
126, 25, 1
126, 30, 1
126, 35, 1
126, 40, 1
126, 45, 0.99778551091427
126, 50, 0.99753542821935
126, 55, 0.98666253101737
126, 60, 0.94986158105198
126, 65, 0.91173794358508
126, 70, 0.88847117794486
126, 75, 0.83468244084682
126, 80, 0.80606248066811
126, 85, 0.77261538461538
126, 90, 0.7344372891751
126, 95, 0.71874035196048
130, 0, 0.58094645080946
130, 5, 0.7652683528686
130, 10, 0.86846957590658
130, 15, 1
130, 20, 1
130, 25, 1
130, 30, 1
130, 35, 0.99969306322897
130, 40, 0.99969502897225
130, 45, 0.99846201168871
130, 50, 0.99568300955905
130, 55, 0.97486371895821
130, 60, 0.93226105784101
130, 65, 0.91921060746223
130, 70, 0.87550077041602
130, 75, 0.85113566605279
130, 80, 0.79394856278366
130, 85, 0.78444034440344
130, 90, 0.76226760134105
130, 95, 0.73752711496746
134, 0, 0.58589901477833
134, 5, 0.75469375192367
134, 10, 0.88233477455219
134, 15, 1
134, 20, 0.99969437652812
134, 25, 1
134, 30, 1
134, 35, 0.99969259145404
134, 40, 0.99876084262701
134, 45, 0.99442033477991
134, 50, 0.99318885448916
134, 55, 0.96838810641628
134, 60, 0.92825951341235
134, 65, 0.91015026065624
134, 70, 0.88002473716759
134, 75, 0.83987823439878
134, 80, 0.80061919504644
134, 85, 0.79025875190259
134, 90, 0.76777983920841
134, 95, 0.74953902888752
138, 0, 0.58973561430793
138, 5, 0.76306196840826
138, 10, 0.8715763846622
138, 15, 0.99938309685379
138, 20, 0.99969059405941
138, 25, 0.9993932038835
138, 30, 0.99938893981057
138, 35, 0.99877112135177
138, 40, 0.99753238741518
138, 45, 0.99565891472868
138, 50, 0.98262724779031
138, 55, 0.95829471733086
