Start of new run - 12/13/2011 11:49:38 AM
iterationVoltage no=3, best_conf_fitness=0.81855388813097 ,e1=200 ,e2=0 ,e3=9.0596484267708
iterationVoltage no=4, best_conf_fitness=0.83888888888889 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.83888888888889 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.83888888888889 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.83888888888889 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.84438040345821 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.84438040345821 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.84438040345821 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.84438040345821 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.84438040345821 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.84438040345821 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.84438040345821 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.73370319001387 ,e1=161 ,e2=48 ,e3=9
iterationVoltage no=2, best_conf_fitness=0.84583333333333 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=3, best_conf_fitness=0.84583333333333 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=4, best_conf_fitness=0.86889818688982 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.86889818688982 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.86889818688982 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.86889818688982 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.86889818688982 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.86889818688982 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.86889818688982 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.58882521489971 ,e1=194 ,e2=155 ,e3=95
iterationVoltage no=2, best_conf_fitness=0.58882521489971 ,e1=194 ,e2=155 ,e3=95
iterationVoltage no=3, best_conf_fitness=0.62984218077475 ,e1=200 ,e2=93.823804474917 ,e3=78.786013217788
iterationVoltage no=4, best_conf_fitness=0.67552447552448 ,e1=200 ,e2=53.40736632393 ,e3=53.083310059017
iterationVoltage no=5, best_conf_fitness=0.73485868102288 ,e1=200 ,e2=17.032571988043 ,e3=29.950877216123
iterationVoltage no=6, best_conf_fitness=0.78093883357041 ,e1=200 ,e2=0 ,e3=9.1316876575185
iterationVoltage no=7, best_conf_fitness=0.78720445062587 ,e1=200 ,e2=5.7148146471208 ,e3=1.3299540404826
iterationVoltage no=8, best_conf_fitness=0.79614325068871 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.79917469050894 ,e1=200 ,e2=3.9163179355784 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.79917469050894 ,e1=200 ,e2=3.9163179355784 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.79917469050894 ,e1=200 ,e2=3.9163179355784 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.79917469050894 ,e1=200 ,e2=3.9163179355784 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.79917469050894 ,e1=200 ,e2=3.9163179355784 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.79917469050894 ,e1=200 ,e2=3.9163179355784 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.80736543909348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=16, best_conf_fitness=0.80736543909348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=17, best_conf_fitness=0.80736543909348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=18, best_conf_fitness=0.80736543909348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=19, best_conf_fitness=0.80736543909348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=20, best_conf_fitness=0.80736543909348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=21, best_conf_fitness=0.80736543909348 ,e1=200 ,e2=0 ,e3=0
