Start of new run - 12/12/2011 6:53:31 PM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
7	0.29888268156425	200	152.6948667355	56.503923842078	32.641446472142	3.0083500336921	-13.921443095664
8	0.31457431457431	42.324921622876	149.30082825493	0	42.324921622876	-29.522586853141	-54.247299523525
9	0.32545201668985	75.310486385863	198.12730529351	78.646842442592	54.855686271125	-1.8726947064879	-2.941883791706
10	0.2972602739726	153.02821215949	179.70049710845	109.9038958269	-14.039439158011	-19.577460471481	21.315290072857
1	0.34688346883469	124.64442143628	66.947602819548	0	8.4695638784629	7.372892384509	-53.056331073863
2	0.310443490701	200	93.392372468474	99.807389858456	71.531420709287	-49.090148375574	44.230080884679
3	0.30747531734838	200	200	23.040261141381	63.08245347609	36.217869727805	-3.327180504894
4	0.28011204481793	174.95814347179	153.81854414842	71.483976552369	5.5900418150102	-9.999919784359	-15.957220167796
5	0.27910238429173	200	145.8875254266	13.177072975303	57.067606601557	40.319577283953	-5.8401203756338
6	0.29036827195467	143.96054497607	84.392253991761	0	14.619145876571	-6.0119985126427	-52.392227445749
7	0.30994152046784	200	139.06309254959	42.536325930287	18.805856973989	-13.631774185903	-13.967597911791
8	0.30458970792768	128.66547998606	118.12541508987	0	86.340558363186	-31.175413165064	-35.298066949181
9	0.29411764705882	138.10096958353	186.47341706174	69.633991909045	62.790483197666	-11.653888231773	-9.0128505335471
10	0.32803468208092	147.54348861585	150.81766402764	112.79641747298	-5.4847235436405	-28.882833080807	2.8925216460839
1	0.29055007052186	132.26702892689	73.583205965606	0	7.6226074906166	6.6356031460581	-47.750697966477
2	0.35203366058906	200	49.969172719003	147.00710290426	47.512568880951	-43.423199749471	47.199713045808
3	0.32786885245902	200	175.27530447197	11.251537117737	16.63857855353	-24.724695528033	-11.788724023643
4	0.32545201668985	171.89860293832	121.22501542969	33.922772455798	-3.0595405334698	-32.593528718727	-37.561204096571
5	0.30453257790368	195.3045231878	125.17042245599	4.5778483009835	-4.695476812195	-20.717102970614	-8.5992246743194
6	0.31168831168831	149.01067391482	78.968067772483	0	5.0501289387475	-5.4241862192789	-36.812585987224
7	0.29329608938547	185.51259619731	89.574913563565	36.863558446023	-14.487403802691	-49.488178986027	-5.6727674842638
8	0.31966053748232	181.7056178023	93.655689538615	0	53.040137816236	-24.469725551256	-31.768260254263
9	0.28591160220994	175.65287839927	170.65295448826	59.043798199116	37.551908815741	-15.820462573479	-10.590193709929
10	0.29986052998605	138.61117123838	110.65408280859	96.508361927183	-8.9323173774739	-40.16358121905	-16.2880555458
1	0.28551136363636	153.37178890109	72.573019562026	0	21.104759974196	-1.0101864035805	-8.4704361035218
2	0.31830985915493	200	10.888292944479	189.48684464549	42.761311992856	-39.080879774524	42.479741741227
3	0.30458970792768	200	120.00531240417	36.412844131697	14.974720698177	-55.269992067795	25.16130701396
4	0.29956584659913	179.96886854201	72.835038269149	33.149476180992	8.0702656036899	-48.38997716054	-0.77329627480631
5	0.29846582984658	171.98733636621	67.039625369698	45.712014846128	-23.317186821598	-58.13079708629	41.134166545145
6	0.27939142461964	148.87314574909	86.684962225995	20.143442887494	-0.13752816572752	7.7168944535122	20.143442887494
7	0.27709190672154	155.24050019562	15.279465513165	77.587120901397	-30.272096001689	-74.2954480504	40.723562455374
8	0.30703012912482	200	58.852325088655	44.786496968731	33.066336927623	-34.80336444996	44.786496968731
9	0.33764367816092	176.75278846698	149.84046386382	64.317942985995	1.0999100677062	-20.812490624439	5.2741447868791
10	0.30747531734838	151.12698953926	60.532147313199	96.838604134471	12.515818300881	-50.121935495391	0.33024220728842
1	0.26494565217391	179.11487378213	66.142517799499	24.075532814917	25.74308488104	-6.4305017625271	24.075532814917
2	0.2768115942029	200	0	200	38.485180793571	-18.842000506301	20.480688255065
3	0.27817403708987	200	65.218222017539	71.225887163091	13.477248628359	-54.787090386633	34.813043031394
4	0.31196581196581	194.72157738268	37.218639870474	64.638542147933	14.752708840663	-35.616398398675	31.489065966941
5	0.27739251040222	146.79736638614	10.225859653907	95.08097581829	-25.189969980071	-56.81376571579	49.368960972162
6	0.29508196721311	157.67641795275	91.643448403218	101.91533525194	8.8032722036532	4.9584861772233	81.77189236445
7	0.30084745762712	138.9789003822	0	132.80292749078	-16.261599813424	-57.822712004231	55.215806589386
8	0.30183356840621	170.88034290282	55.553515863188	100.7486747732	-29.119657097181	-3.2988092254674	55.962177804472
9	0.28260869565217	185.56887380559	97.48758429351	96.90195235722	8.816085338617	-52.352879570311	32.584009371225
10	0.31015299026426	162.31906384153	32.614095354688	98.175427269151	11.192074302269	-27.918051958512	1.33682313468
1	0.28169014084507	197.39541907206	54.553174624648	85.682359321364	18.280545289925	-11.589343174851	61.606826506448
2	0.3290780141844	200	0	200	34.636662714214	-5.4351687790595	6.2127326176543
3	0.34033613445378	200	19.878761037934	108.91547636308	12.129523765523	-45.339460979606	37.689589199991
4	0.32496513249651	200	23.830682042581	120.85342534734	14.31977106978	-13.387957827893	56.214883199404
5	0.33954154727794	139.87975859468	0	153.04107226578	-6.9176077914516	-32.453865139995	57.960096447489
6	0.31936416184971	158.84803841664	101.73407527256	186.47033074742	1.1716204638959	10.090626869342	84.554995495472
7	0.3082489146165	124.47873385804	0	181.00227479272	-14.50016652416	-48.523396249687	48.199347301934
8	0.29763560500695	130.14546668854	63.880398371658	147.60640272178	-40.73487621428	8.3268825084699	46.857727948581
9	0.29571428571429	194.98640321791	46.898349241775	131.25724366034	9.4175294123211	-50.589235051735	34.355291303116
10	0.31593794076164	171.13926643245	38.320693694941	103.58441995916	8.8202025909268	5.7065983402538	5.408992690009
1	0.31484049930652	194.21220121481	47.269744721307	120.7930320891	-3.1832178572436	-7.2834299033412	35.110672767735
2	0.29	200	10.708331290665	189.04749316641	31.172996442792	10.708331290665	-10.952506833587
3	0.31869688385269	200	0	147.37683033672	10.916571388971	-37.218578389862	38.461353973642
4	0.28294036061026	200	30.400558070133	160.13029680876	10.983711482397	6.569876027552	39.276871461424
5	0.28151260504202	163.22965032358	0	200	23.349891728896	-4.6264882196732	49.195717128283
6	0.31214689265537	175.56102119188	89.999109777575	200	16.712982775242	-11.734965494985	56.382331908535
7	0.27650429799427	145.49172201379	0	197.39198665415	21.012988155757	-17.458318624336	16.389711861431
8	0.33004231311707	68.89832299607	97.122525503799	147.36720304867	-61.247143692469	33.242127132141	-0.23919967311657
9	0.28167115902965	200	28.438296270461	149.269411447	5.151282877399	-18.460052971314	18.012167786668
10	0.31593794076164	183.3228141333	69.351558506786	122.25476080735	12.183547700844	31.030864811845	18.670340848194
1	0.32584269662921	176.78019233222	46.775606387478	134.33249297458	-17.432008882595	-0.49413833382904	13.539460885478
2	0.29532967032967	200	32.959694259442	165.68334872965	28.055696798513	22.251362968777	-23.36414443676
3	0.32482269503546	200	0	176.88385223095	9.8249142500737	-30.554995910239	29.50702189423
4	0.29957203994294	200	46.779573100992	187.12956946179	9.601947237929	16.379015030859	26.999272653034
5	0.2768115942029	192.74916638824	11.236218303727	200	29.519516064655	11.236218303727	22.257453058404
6	0.32932330827068	193.23496689543	67.993346415218	200	17.673945703551	-22.005763362357	19.064022845263
7	0.32040229885057	179.2871805912	11.83120593493	163.04998521916	33.795458577408	11.83120593493	-34.34200143499
8	0.29261363636364	28.969196555195	130.89564645326	113.28348269346	-39.929126440875	33.77312094946	-34.083720355211
9	0.28388017118402	200	30.561674327168	153.23980238826	1.3286043053195	2.1233780567069	3.9703909412576
10	0.32898550724638	194.21992123881	99.555537052107	143.7522667865	10.897107105511	30.203978545321	21.497505979141
1	0.30239099859353	169.78081240003	48.282760049682	148.33086131931	-6.999379932192	1.5071536622043	13.998368344737
2	0.28591549295775	200	59.697104174135	137.28680326585	25.250127118662	26.737409914692	-28.3965454638
3	0.32398316970547	200	0	175.99338750599	8.8424228250663	-2.6535215270812	-0.89046472495897
4	0.31707317073171	200	84.569479664077	155.66307532994	5.4731884667791	37.789906563085	-31.46649413185
5	0.29207232267038	200	31.464064992991	194.29539798447	18.771655693969	20.227846689264	-5.7046020155267
