Start of new run - 12/12/2011 6:53:31 PM
iterationVoltage no=5, best_conf_fitness=0.34177215189873 ,e1=200 ,e2=129.90190899129 ,e3=191.67955824233
iterationVoltage no=6, best_conf_fitness=0.34177215189873 ,e1=200 ,e2=129.90190899129 ,e3=191.67955824233
iterationVoltage no=7, best_conf_fitness=0.34177215189873 ,e1=200 ,e2=129.90190899129 ,e3=191.67955824233
iterationVoltage no=8, best_conf_fitness=0.34177215189873 ,e1=200 ,e2=129.90190899129 ,e3=191.67955824233
iterationVoltage no=9, best_conf_fitness=0.34177215189873 ,e1=200 ,e2=129.90190899129 ,e3=191.67955824233
iterationVoltage no=1, best_conf_fitness=0.33190271816881 ,e1=59 ,e2=158 ,e3=130
iterationVoltage no=2, best_conf_fitness=0.33190271816881 ,e1=59 ,e2=158 ,e3=130
iterationVoltage no=3, best_conf_fitness=0.33190271816881 ,e1=59 ,e2=158 ,e3=130
iterationVoltage no=4, best_conf_fitness=0.33190271816881 ,e1=59 ,e2=158 ,e3=130
iterationVoltage no=5, best_conf_fitness=0.33190271816881 ,e1=59 ,e2=158 ,e3=130
iterationVoltage no=6, best_conf_fitness=0.33190271816881 ,e1=59 ,e2=158 ,e3=130
iterationVoltage no=7, best_conf_fitness=0.33190271816881 ,e1=59 ,e2=158 ,e3=130
iterationVoltage no=1, best_conf_fitness=0.32584269662921 ,e1=27 ,e2=68 ,e3=27
iterationVoltage no=2, best_conf_fitness=0.32584269662921 ,e1=27 ,e2=68 ,e3=27
iterationVoltage no=3, best_conf_fitness=0.32584269662921 ,e1=27 ,e2=68 ,e3=27
iterationVoltage no=4, best_conf_fitness=0.33242506811989 ,e1=163.51896694845 ,e2=0 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.33242506811989 ,e1=163.51896694845 ,e2=0 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.34453781512605 ,e1=145.99998943579 ,e2=0 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.34453781512605 ,e1=145.99998943579 ,e2=0 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.34453781512605 ,e1=145.99998943579 ,e2=0 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.34880450070323 ,e1=152.74277834849 ,e2=0 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.34880450070323 ,e1=152.74277834849 ,e2=0 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.34880450070323 ,e1=152.74277834849 ,e2=0 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.34880450070323 ,e1=152.74277834849 ,e2=0 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.34880450070323 ,e1=152.74277834849 ,e2=0 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.34880450070323 ,e1=152.74277834849 ,e2=0 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.34880450070323 ,e1=152.74277834849 ,e2=0 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.31643835616438 ,e1=139 ,e2=164 ,e3=122
iterationVoltage no=2, best_conf_fitness=0.34387895460798 ,e1=162.74990691855 ,e2=110.03169652394 ,e3=200
iterationVoltage no=3, best_conf_fitness=0.3562412342216 ,e1=134.94633498682 ,e2=110.16574890926 ,e3=142.36654560991
